text,label
"Pay a refundable registration fee of Rs 499 to confirm your work from home data entry internship. No interview needed, instant selection guaranteed!",1
"Earn Rs 50000 per week from home with zero experience. Just pay Rs 999 as a kit fee and start today. Limited seats, hurry up!!!",1
"Congratulations! You are selected for our internship. Please pay Rs 1500 security deposit which will be refunded after 1 month of joining.",1
"Work from home job, no interview, no resume required. Just send Rs 300 processing fee via UPI to confirm your seat.",1
"Urgent hiring!!! Earn upto 80000 monthly part time. Contact only on WhatsApp. Pay Rs 500 registration fee to get study material.",1
"Data entry job available. No qualification needed. Pay Rs 799 for training kit before joining. 100% guaranteed job.",1
"We are offering online typing jobs, earn Rs 30000 weekly. Pay a small joining fee of Rs 250 to activate your account.",1
"Get instant job offer letter without any interview. Just complete payment of Rs 999 registration and start earning today.",1
"Dear candidate you are shortlisted, kindly transfer Rs 2000 as security money to HR account to receive your appointment letter.",1
"Amazing opportunity to earn Rs 5000 daily by liking YouTube videos. Pay Rs 350 to unlock the task list on Telegram.",1
"Home based internship, no skills required, no interview, immediate joining. Send Rs 499 to our Paytm number to get login details.",1
"Selected candidates must deposit Rs 3000 for laptop and training material which will be adjusted in first salary.",1
"Work part time and earn 40k a month guaranteed. Contact on WhatsApp only, no calls, pay Rs 199 registration to start.",1
"Great news! You have been selected without interview. Pay processing charge of Rs 650 to HR whatsapp number immediately.",1
"Simple copy paste job, earn Rs 25000 monthly. Registration fee Rs 400 non refundable, seats filling fast, apply now!!!",1
"Online form filling job available for students, no experience needed, pay Rs 599 for ID card and starter kit.",1
"Get hired instantly! No resume, no interview, no qualification needed, just pay Rs 799 activation fee via Google Pay.",1
"Limited vacancy for data entry operator, work from home, salary 45000, send Rs 1200 refundable caution money today.",1
"Job confirmed after payment of Rs 500 processing fee, please share your bank details and Aadhaar number to proceed.",1
"Earn money fast! No skills required. Pay Rs 999 joining fee on WhatsApp to receive daily tasks and start earning immediately.",1
"免费 job offer, guaranteed placement, no interview, send Rs 350 to activate account and receive salary weekly, hurry limited slots!!!",1
"You have won a work from home internship. Pay Rs 899 to confirm your slot within 24 hours or offer will be cancelled.",1
"We provide typing jobs from home, earn 60000 per month, registration is mandatory, pay Rs 700 to our UPI ID now.",1
"Selected for internship without any interview process, kindly pay Rs 1000 refundable token amount to HR contact number on WhatsApp.",1
"Great work from home opportunity, no boss, no target, earn unlimited, just pay Rs 499 to unlock premium tasks today.",1
"Software Development Intern - We are looking for a motivated CS student to join our backend team for a 3 month internship. Apply via our official careers page with resume and cover letter. Interview process includes a technical round and HR round. Stipend Rs 15000 per month.",0
"Frontend Developer Internship at TechNova Solutions Pvt Ltd. Candidates must have knowledge of React and JavaScript. Send your resume to careers@technova.com. Shortlisted candidates will be called for a virtual interview.",0
"Data Analyst Trainee position open at our Bangalore office. Freshers with SQL and Excel knowledge preferred. Apply through our company website with your updated resume. No fee is charged at any stage of recruitment.",0
"Machine Learning Intern required for a 6 month research project. Must know Python, NumPy and scikit-learn. Please submit your application through LinkedIn or our official portal. Interview will be conducted online.",0
"We are hiring a Junior Python Developer. Minimum qualification B.Tech CSE. Salary as per industry standards. Please apply with your resume on our careers portal, HR will contact shortlisted candidates for interview scheduling.",0
"Full Stack Developer Internship - 3 months, stipend provided, hybrid work mode. Send resume to hr@company.com. Selection based on coding test and technical interview, no payment required at any stage.",0
"UI UX Design Internship for students in final year. Portfolio review followed by interview round. Apply on our official website careers section. Certificate and stipend provided on successful completion.",0
"We are looking for a Backend Engineer with experience in Django and REST APIs. Please apply through our company career page. Recruitment process is completely free of cost.",0
"Cloud Computing Internship at our Hyderabad branch. Candidates should have basic AWS knowledge. Interview rounds include technical assessment and HR discussion. Apply via official job portal only.",0
"Content Writing Internship, remote, 2 months duration. Submit writing samples along with your application. Selected interns will undergo a brief video interview before onboarding.",0
"Graphic Design Internship - Adobe Photoshop and Illustrator skills required. Apply with portfolio through our official website. HR team will reach out for interview scheduling within a week.",0
"Mobile App Developer Intern - Flutter and Dart experience preferred. Apply through Internshala or our company careers page. Interview conducted via Google Meet, no charges involved in hiring process.",0
"Business Analyst Trainee - Freshers welcome, strong analytical skills required. Apply through official recruitment portal, selection includes aptitude test and personal interview.",0
"DevOps Intern needed for CI CD pipeline management, Docker and Kubernetes knowledge preferred. Apply via our LinkedIn careers page, technical interview to follow after resume shortlisting.",0
"QA Engineer Internship, manual and automation testing exposure required. Apply with resume through our official website, interview process includes technical and HR rounds, no fee required.",0
"Marketing Intern for digital campaigns, knowledge of social media tools preferred. Apply through official company portal, shortlisted candidates called for interview, unpaid but certificate provided.",0
"Embedded Systems Intern, knowledge of C and microcontrollers required, apply via campus placement cell, interview and technical test to be scheduled by HR.",0
"We are hiring Software Engineers with 0-2 years experience. Apply through our careers page, interview rounds include coding test, technical interview and HR discussion, competitive salary offered.",0
"Research Intern for AI Lab, work on NLP projects, requires Python and PyTorch knowledge, apply via official university partnership portal, stipend and mentorship provided.",0
"Human Resources Intern, assist with recruitment and onboarding, apply through company careers page, in person interview at our office, no payment required at any stage of the process.",0
"Network Engineer Trainee, CCNA certification preferred, apply through official job portal, interview process includes technical assessment conducted by senior engineers.",0
"Product Management Intern, work closely with engineering and design teams, apply via LinkedIn, interview rounds include case study discussion and HR round.",0
"Database Administrator Intern, SQL and database management knowledge required, apply through company website, HR will contact shortlisted candidates for interview.",0
"Technical Support Engineer, freshers can apply, good communication skills required, apply through official careers page, interview process is completely free of cost.",0
"Cybersecurity Intern, basic networking and security concepts required, apply via official recruitment page, interview includes technical round with security team.",0
